number,symbol
1,H
2,He
4,Be
5,B
7,N
8,O
9,F
10,Ne
11,Na
13,Al
14,Si
15,P
16,S
18,Ar
19,K
21,Sc
22,Ti
23,V
26,Fe
28,Ni
30,Zn
31,Ga
32,Ge
33,As
34,Se
35,Br
36,Kr
37,Rb
38,Sr
39,Y
40,Zr
41,Nb
43,Tc
44,Ru
45,Rh
46,Pd
47,Ag
49,In
50,Sn
51,Sb
52,Te
53,I
54,Xe
56,Ba
59,Pr
60,Nd
61,Pm
62,Sm
63,Eu
64,Gd
65,Tb
67,Ho
68,Er
69,Tm
70,Yb
72,Hf
73,Ta
74,W
75,Re
76,Os
77,Ir
78,Pt
79,Au
80,Hg
81,Tl
82,Pb
83,Bi
84,Po
85,At
86,Rn
87,Fr
88,Ra
89,Ac
90,Th
91,Pa
92,U
93,Np
94,Pu
95,Am
97,Bk
99,Es
100,Fm
102,No
104,Rf
106,Sg
107,Bh
108,Hs
111,Rg
113,Nh
114,Fl
117,Ts
118,Og
