,url,duration
1,4iORuByyRmA,180
2,y2frxNQgsOQ,181
3,y2frxNQgsOQ,182
4,wtqzSTi4zQQ,183
5,wtqzSTi4zQQ,184
6,J2I2vQQwiyE,185
7,xwuyBTTuUrQ,186
8,tPSBj4Quuwk,187
9,HPlBcPvJQew,188
10,vqlcBxgYnFo,189
11,vqlcBxgYnFo,190
12,Zx_iiQAH-Tw,191
13,uawO3-tjP1c,192
14,uawO3-tjP1c,193
15,xepkylNIenw,194
16,xepkylNIenw,195
17,krqmxbffbTE,196
18,t-3-guBJswY,197
19,t-3-guBJswY,198
20,ZSv1iiT3jlc,199
21,HduubRTdko4,200
22,yRQ1QZs7Q0w,201
23,AedxizpHQ4A,202
24,J_QEigiJcsQ,203
25,J_QEigiJcsQ,204
26,yFfcsmK2TOA,205
27,z2bqfIdTtwE,206
28,z2bqfIdTtwE,207
29,tk2O_dPRSqw,208
30,u-oIZfasENg,209
31,u-oIZfasENg,210
32,cdnOG2TQwHA,211
33,ahBmRREpqiI,212
34,ahBmRREpqiI,213
35,KEFs4o-uGEA,214
36,Q-GEwZGu_OA,215
37,Q-GEwZGu_OA,216
38,lZwt3xbuEJQ,217
39,bm-ummtKNOw,218
40,itBuZqROGoc,219
41,y_fzxkP1Ysc,220
42,ygHP___BmszQ,221
43,ygHP___BmszQ,222
44,e1cpwxneseQ,223
45,ompeR1pJlaQ,224
46,rbREmmg1wRc,225
47,aTwhiJfyoOE,226
48,aTwhiJfyoOE,227
49,rdIiiwhasyQ,228
50,rdIiiwhasyQ,229
51,zo1Hd3tozKs,230
52,evdgGExIgio,231
53,evdgGExIgio,232
54,xeTZz1dh3__w,233
55,uephBmkupvQ,234
56,uephBmkupvQ,235
57,xiuuKQroPHc,236
58,xiuuKQroPHc,237
59,lfGwR1gaQYo,238
60,t4gkmcmwBrw,239
62,sxssAArYRGA,240
63,sxssAArYRGA,241
64,obTE4aTynIo,242
65,obTE4aTynIo,243
66,3ucrwgmeBtk,244
67,OxwNHQplFpo,245
68,OxwNHQplFpo,246
69,pEoYAeJ__gOk,247
70,m2cOKpkvN2c,248
71,oueYkBT22Pw,249
72,zYsPTBq2aEw,250
73,zYsPTBq2aEw,251
74,wivuhAAxlec,252
75,wivuhAAxlec,253
76,QRqiOaiwteE,254
77,yPwOl5BIjos,255
78,vx2Q1Nas1Qs,256
79,vx2Q1Nas1Qs,257
80,mmQ1akRwxBs,258
81,-bcANEglbI,259
82,-bcANEglbI,260
83,uxzBq4Y__fNw,261
84,v__xPZuAfg1k,262
85,edHesrFRpQg,263
86,edHesrFRpQg,264
87,tpmAholHR1w,265
88,xsJopwNT2fs,266
89,xsJopwNT2fs,267
90,hZARIbmubgo,268
91,zydZQOR__lwQ,269
92,ccQAgyqxqQQ,270
93,ccQAgyqxqQQ,271
94,xGcyrucn3fI,272
95,xGcyrucn3fI,273
96,jJdZJ1GwjxA,274
97,jJdZJ1GwjxA,275
98,dSxxsnOc3w0,276
99,ugcPtZyxZ6E,277
100,zW8fpEOOw0w,278
101,zW8fpEOOw0w,279
102,cyTxxEhS4uc,280
103,OGkQQ__q__HYg,281
104,OGkQQ__q__HYg,282
105,wP-O4JlKclc,283
106,w-s3NTuw-To,284
107,w-s3NTuw-To,285
108,vNExj-bJIgs,286
109,vNExj-bJIgs,287
110,bxbPOqJBjFo,288
111,bxbPOqJBjFo,289
112,zpu2JwTxf__o,290
113,zpu2JwTxf__o,291
114,xohyFEGR2hg,292
